DAP	RN	CoreA	CoreB	CoreC
26	155	184	54	26
26	86	87	38	26
26	119	49	73	35
41	259	67	84	32
41	291	171	123	49
41	310	185	93	36
55	595	131	25	17
55	476	238	111	51
55	589	270	120	46
69	847	161	51	30
69	720	170	150	100
69	807	210	182	113
83	791	160	44	42
83	781	231	101	101
83	863	232	170	85
105	759	156	59	34
105	741	178	107	59
105	696	277	100	72
130	795	152	42	19
130	591	185	83	36
130	747	115	48	31
